#{"t_start": 1776276655.5548859, "env_id": "None"}
r,l,t
69.101732,500,1776.041654
54.453713,500,1778.641148
70.700082,500,1780.605471
63.861698,500,1783.144466
70.807023,500,1785.136137
71.044703,500,1787.746023
61.813912,500,1789.721931
61.473646,500,1792.325483
63.031423,500,1794.322939
66.312698,500,1796.863422
67.446872,500,1798.929888
65.034415,500,1801.510191
65.721348,500,1803.738553
55.725412,500,1805.709185
62.479105,500,1808.268774
45.164263,500,1810.245971
57.165091,500,1812.887257
74.279514,500,1814.904791
61.200348,500,1817.429298
62.288069,500,1819.39533
26.737247,500,1821.983267
65.066983,500,1823.987722
68.501045,500,1826.591496
64.615369,500,1828.572296
32.926482,500,1831.125835
63.394184,500,1833.072107
64.200456,500,1835.649527
80.634012,500,1837.643331
71.953052,500,1840.271845
68.816197,500,1842.247165
68.251654,500,1844.803983
45.286105,500,1846.812797
65.938736,500,1849.409784
67.557314,500,1851.404145
67.252972,500,1853.936312
74.521162,500,1855.871625
75.671241,500,1858.483006
61.6768,500,1860.450339
74.534532,500,1863.015751
61.269417,500,1865.016762
54.176099,500,1867.53363
59.740115,500,1869.482506
72.991998,500,1872.042819
64.68599,500,1874.022482
61.816469,500,1876.554411
61.03175,500,1878.517914
70.033986,500,1881.154812
19.657173,500,1883.156523
65.685335,500,1885.691365
73.271084,500,1887.61698
76.259811,500,1890.16036
62.471405,500,1892.189411
80.476694,500,1894.771335
55.09706,500,1896.758665
67.310273,500,1899.315326
58.409718,500,1901.325021
16.751754,500,1903.310175
73.789139,500,1905.919952
68.113948,500,1907.836572
43.216566,500,1910.426572
44.018367,500,1912.431281
70.492927,500,1914.945172
63.51287,500,1916.968791
57.949523,500,1919.570196
53.734782,500,1921.535447
66.883582,500,1924.136479
52.974561,500,1926.100083
67.751906,500,1928.721207
63.759105,500,1930.741825
67.053854,500,1933.269572
64.562433,500,1935.239746
65.661988,500,1937.840506
56.33679,500,1939.892748
43.717126,500,1942.472132
26.439716,500,1944.481269
40.687676,500,1947.044326
61.050603,500,1949.073358
60.99018,500,1951.693613
44.459003,500,1953.705259
66.424098,500,1956.311542
75.27801,500,1958.294809
54.409439,500,1960.930078
15.027826,500,1962.883238
36.798359,500,1965.517773
57.975309,500,1967.428152
70.309182,500,1970.102006
76.412616,500,1972.121282
68.803659,500,1974.693246
67.284885,500,1976.663518
76.436138,500,1979.24985
52.474132,500,1981.228225
76.205749,500,1983.830153
72.26461,500,1985.771771
72.536357,500,1988.338446
59.563095,500,1990.42483
71.628972,500,1993.056541
53.301953,500,1995.059631
73.503518,500,1997.701471
81.371927,500,1999.683726
82.466136,500,2001.757647
76.527548,500,2004.382919
60.868904,500,2006.408914
48.634275,500,2009.05384
74.545963,500,2011.072711
74.041886,500,2013.630185
60.25407,500,2015.515559
81.811537,500,2018.070766
70.20568,500,2020.074225
56.946999,500,2022.683271
71.971046,500,2024.669883
71.921936,500,2027.277398
83.369283,500,2029.247203
75.002472,500,2031.875347
79.576829,500,2033.92932
70.507007,500,2036.455331
50.907994,500,2038.422013
33.715013,500,2041.079081
64.965596,500,2043.055872
65.367284,500,2045.627982
81.173504,500,2047.612093
29.041994,500,2050.181309
85.135942,500,2052.153444
69.187961,500,2054.71401
66.566692,500,2056.739995
64.036948,500,2059.290449
80.784659,500,2061.251509
75.231096,500,2063.911769
69.939796,500,2065.985654
79.55406,500,2068.612942
56.944342,500,2070.531261
63.861873,500,2073.147619
80.295701,500,2075.192127
64.55224,500,2077.811969
80.526606,500,2079.777177
65.738252,500,2082.352694
35.93562,500,2084.348585
63.000079,500,2086.880203
49.139378,500,2088.839579
79.241313,500,2091.575745
69.423707,500,2093.508759
65.575004,500,2096.136206
78.534897,500,2098.105483
50.363288,500,2100.05408
61.012759,500,2102.634437
66.304894,500,2104.615924
62.730213,500,2107.307931
68.306101,500,2109.277688
33.89262,500,2111.837441
55.626914,500,2113.773923
68.005661,500,2116.32748
74.972935,500,2118.318871
66.029597,500,2120.946455
64.69051,500,2122.955719
62.176462,500,2125.511216
37.938106,500,2127.449638
33.110273,500,2130.021037
50.887213,500,2132.001516
57.568466,500,2134.519392
68.93501,500,2136.55114
55.672449,500,2139.160908
64.867557,500,2141.17912
